"Time","Alabama Field, PAD District 3 - Gulf Coast (Barrels)","Alaska Field, PAD District 5 - West Coast (Barrels)","Alaska North Slope, PAD District 5 - West Coast (Barrels)","Alaska South Field, PAD District 5 - West Coast (Barrels)","Arizona Field, PAD District 5 - West Coast (Barrels)","Arkansas Field, PAD District 3 - Gulf Coast (Barrels)","California Field, PAD District 5 - West Coast (Barrels)","California Field (Federal Offshore), PAD District 5 - West Coast (Barrels)","Colorado Field, PAD District 4 - Rocky Mountains (Barrels)","Florida Field, PAD District 1 - East Coast (Barrels)","Gulf of Mexico Field (Federal Offshore), PAD District 3 - Gulf Coast (Barrels)","Illinois Field, PAD District 2 - Midwest (Barrels)","Indiana Field, PAD District 2 - Midwest (Barrels)","Kansas Field, PAD District 2 - Midwest (Barrels)","Kentucky Field, PAD District 2 - Midwest (Barrels)","Louisiana Field, PAD District 3 - Gulf Coast (Barrels)","Michigan Field, PAD District 2 - Midwest (Barrels)","Mississippi Field, PAD District 3 - Gulf Coast (Barrels)","Missouri Field, PAD District 2 - Midwest (Barrels)","Montana Field, PAD District 4 - Rocky Mountains (Barrels)","Nebraska Field, PAD District 2 - Midwest (Barrels)","Nevada Field, PAD District 5 - West Coast (Barrels)","New Mexico Field, PAD District 3 - Gulf Coast (Barrels)","New York Field, PAD District 1 - East Coast (Barrels)","North Dakota Field, PAD District 2 - Midwest (Barrels)","Ohio Field, PAD District 2 - Midwest (Barrels)","Oklahoma Field, PAD District 2 - Midwest (Barrels)","Pennsylvania Field, PAD District 1 - East Coast (Barrels)","South Dakota Field, PAD District 2 - Midwest (Barrels)","Tennessee Field, PAD District 2 - Midwest (Barrels)","Texas Field, PAD District 3 - Gulf Coast (Barrels)","Utah Field, PAD District 4 - Rocky Mountains (Barrels)","Virginia Field, PAD District 1 - East Coast (Barrels)","West Virginia Field, PAD District 1 - East Coast (Barrels)","Wyoming Field, PAD District 4 - Rocky Mountains (Barrels)"
"2003",7894000,633974000,10036000,355603000,345566000,7209000,47000,493000,21508000,3263000,561065000,11697000,1865000,33973000,2538000,90018000,6468000,19301000,87000,,2753000,248093000,66589000,143000,29411000,5658000,64916000,2466000,1237000,311000,400664000,19420000,18000,1481000,13097000
"2004",7443000,600605000,8225000,332441000,324216000,6747000,54000,463000,22532000,2904000,535355000,10984000,1755000,33879000,2548000,83272000,5951000,19242000,88000,,2506000,240138000,64517000,170000,31152000,5783000,63977000,2396000,1357000,361000,392714000,24718000,19000,1735000,14744000
"2005",7861000,572620000,7110000,315387000,308277000,6175000,50000,447000,23227000,2585000,466926000,10207000,1727000,33620000,2535000,75199000,5734000,17695000,86000,,2408000,230230000,60963000,202000,35675000,5658000,61262000,2460000,1394000,324000,392601000,32787000,26000,1696000,16673000
"2006",7539000,519964000,6237000,270481000,264244000,5948000,55000,426000,24501000,2360000,472078000,10324000,1773000,35668000,2340000,73619000,5849000,17356000,87000,,2313000,223015000,59452000,312000,39591000,5439000,64236000,2589000,1390000,192000,392481000,36294000,17000,1726000,17927000
"2007",7171000,507189000,5488000,263595000,258107000,6031000,43000,408000,26183000,2078000,467971000,9609000,1727000,36590000,2666000,76978000,5726000,20672000,80000,0,2335000,218518000,59179000,379000,44788000,5155000,62901000,2788000,1664000,284000,391261000,34907000,19000,1992000,19535000
"2008",7696000,488946000,4770000,249893000,245124000,6079000,54000,436000,29946000,1953000,423301000,9430000,1859000,39663000,2645000,72346000,6370000,22104000,99000,0,2394000,214533000,60155000,387000,62322000,5088000,67299000,2999000,1700000,338000,405938000,31596000,16000,2126000,22039000
"2009",7189000,465562000,2751000,235510000,232759000,5755000,46000,438000,30394000,696000,570309000,9099000,1803000,39466000,2609000,68967000,6258000,23328000,106000,0,2239000,207262000,61178000,333000,79792000,4890000,67174000,2967000,1664000,268000,399327000,27835000,12000,1501000,22942000
"2010",7155000,441444000,3766000,218904000,215138000,5733000,37000,426000,33068000,1777000,566628000,9067000,1835000,40470000,2519000,67590000,6980000,23981000,146000,0,2331000,200370000,65569000,381000,112555000,4772000,70196000,3238000,1607000,257000,426767000,25332000,12000,1842000,24663000
"2011",8373000,421266000,3737000,204829000,201092000,7938000,37000,408000,39517000,2023000,480692000,9158000,1987000,41500000,2326000,69278000,7038000,24043000,118000,0,2544000,196172000,71518000,375000,152436000,4657000,82022000,3431000,1634000,296000,529813000,24155000,11000,2146000,26276000
"2012",9525000,407710000,4080000,192401000,188322000,6604000,52000,368000,49760000,2135000,463272000,9733000,2350000,43751000,3198000,71007000,7449000,24137000,175000,0,3025000,197211000,85551000,362000,242354000,5123000,100999000,4319000,1754000,371000,725940000,26494000,9000,2573000,30210000
"2013",10408000,405810000,5424000,187923000,182499000,6669000,60000,334000,66219000,2174000,458027000,9539000,2399000,46846000,2305000,72215000,7789000,24057000,199000,0,2808000,198928000,102789000,366000,312349000,8038000,124640000,5303000,1850000,334000,928358000,29288000,10000,7239000,35016000
"2014",9831000,404778000,6601000,181130000,174529000,6775000,56000,316000,95661000,2227000,509941000,9546000,2507000,49518000,2626000,69173000,7425000,24395000,196000,0,3050000,204766000,125061000,356000,394620000,15091000,150500000,6849000,1798000,330000,1160097000,29896000,14000,10330000,40909000
"2015",9694000,389282000,6686000,176229000,169542000,6229000,37000,281000,122196000,2208000,552929000,9520000,2219000,45481000,2862000,63738000,6563000,24923000,149000,30000,2697000,201284000,148095000,286000,429623000,26848000,166054000,7088000,1663000,296000,1261782000,28555000,11000,11572000,37136000
"2016",8112000,371886000,5643000,179378000,173735000,5519000,8000,277000,115993000,1934000,585587000,8639000,1817000,37944000,2595000,57433000,5647000,20386000,123000,215000,2195000,186079000,146634000,225000,377819000,21718000,155146000,6272000,1406000,257000,1168696000,23177000,7000,7636000,30528000
"2017",6832000,359964000,5272000,180547000,175275000,5288000,13000,286000,129957000,1923000,613707000,8314000,1779000,35825000,2477000,51548000,5565000,17783000,116000,91000,2093000,173403000,172378000,193000,390604000,19755000,165879000,6562000,1304000,271000,1275904000,20721000,7000,9104000,34438000
"2018",5887000,340598000,5563000,174801000,169238000,5004000,10000,255000,169160000,1839000,641970000,8420000,1684000,34715000,2265000,48087000,5511000,16953000,96000,88000,2056000,160658000,249211000,221000,460436000,22743000,201305000,6478000,1273000,210000,1612374000,21561000,5000,12739000,37117000
"2019",4859000,331022000,5211000,169947000,164737000,4833000,7000,268000,192238000,1937000,692575000,8243000,1579000,33206000,2505000,45876000,5219000,16878000,85000,22000,1910000,156350000,336535000,274000,517692000,27585000,218302000,6557000,1166000,211000,1864287000,22997000,6000,17256000,36933000
"2020",4294000,310842000,4419000,163852000,159433000,4143000,5000,196000,171635000,1488000,609865000,7150000,1402000,28261000,2265000,36697000,4132000,14166000,62000,1000,1674000,142221000,375419000,147000,433564000,23864000,173217000,5532000,1047000,152000,1773050000,19085000,5000,19059000,31001000
"2021",4289000,298451000,3462000,159623000,156161000,4211000,6000,218000,153423000,1490000,623018000,7057000,1523000,27905000,2464000,34719000,4339000,13434000,60000,25000,1706000,134612000,457200000,147000,405128000,18688000,143052000,6253000,1028000,157000,1739660000,18994000,5000,18241000,35488000



"Publisher:", "Energy Information Administration"
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
